customer_city,order_volume,total_sales
sao paulo,15044,2107871.44
rio de janeiro,6603,1112015.93
belo horizonte,2697,405950.51
brasilia,2071,345199.05000000005
curitiba,1489,238459.71999999997
campinas,1406,209002.90000000002
porto alegre,1341,214611.84
salvador,1188,207713.30000000002
guarulhos,1143,157615.52999999997
sao bernardo do campo,911,116784.57999999999
niteroi,825,135447.96000000002
santo andre,778,101863.53
osasco,724,92448.68000000001
santos,699,111115.6
sao jose dos campos,667,86488.5
goiania,660,113301.29
fortaleza,618,112951.55
sorocaba,609,85053.32
recife,593,104795.5
florianopolis,557,98006.67
jundiai,549,90313.88
ribeirao preto,499,74200.92000000001
belem,431,93830.03
nova iguacu,423,68470.1
juiz de fora,423,74851.45
barueri,419,57077.09999999999
contagem,416,57249.4
sao goncalo,385,59380.09
mogi das cruzes,374,56768.08
vitoria,374,61487.649999999994
uberlandia,367,55691.92
piracicaba,356,55607.7
sao luis,335,62151.28999999999
sao jose do rio preto,329,53296.600000000006
vila velha,326,54651.490000000005
maua,317,48117.99
carapicuiba,316,36701.11
campo grande,312,64758.83
praia grande,301,43883.53
londrina,298,52425.06
taboao da serra,284,39300.67
serra,278,41555.07
diadema,276,33305.01
indaiatuba,273,41119.44
sao caetano do sul,272,36423.18
teresina,271,59131.25
bauru,263,44290.899999999994
taubate,260,33717.72
maringa,260,44263.88000000001
joinville,257,40500.47
duque de caxias,250,38406.240000000005
joao pessoa,245,61117.81
cuiaba,243,45858.08
cotia,241,33316.259999999995
maceio,236,51621.659999999996
sao carlos,235,34386.33
petropolis,234,38480.14
campos dos goytacazes,232,37738.28
suzano,230,28159.46
macae,227,36503.969999999994
volta redonda,227,38606.53
caxias do sul,220,41558.69
guaruja,217,32644.02
americana,216,28142.82
aracaju,213,42347.44
montes claros,207,30663.25
canoas,205,31602.359999999997
natal,203,42625.09
santa maria,196,37197.74
betim,196,32101.510000000002
marilia,194,37219.88
jacarei,189,20939.76
uberaba,186,31881.58
limeira,186,26060.73
pelotas,183,27209.34
feira de santana,181,31427.0
blumenau,181,28625.770000000004
valinhos,181,25190.980000000003
santana de parnaiba,178,25866.019999999997
sumare,177,24206.99
itapevi,170,21151.409999999996
ipatinga,169,25958.559999999998
itaquaquecetuba,168,21421.83
sao jose,167,24230.43
sao vicente,159,21838.86
embu das artes,157,22400.92
presidente prudente,157,29162.33
atibaia,154,23183.87
franca,154,25275.260000000002
rio claro,154,22954.920000000002
cascavel,151,28403.13
araraquara,150,22649.940000000002
braganca paulista,144,22683.230000000003
hortolandia,142,18413.0
nova friburgo,142,30715.399999999994
ponta grossa,141,21786.910000000003
aracatuba,138,19261.269999999997
manaus,137,25542.800000000003
cariacica,135,19353.079999999998
governador valadares,134,21475.73
marica,133,18020.17
divinopolis,132,38370.43000000001
jaboatao dos guararapes,131,25282.340000000004
rio das ostras,130,22354.96
sao jose dos pinhais,130,17521.99
itu,129,14195.91
pouso alegre,128,23967.97
paulinia,127,18545.229999999996
sete lagoas,126,20173.89
sao joao de meriti,124,20782.719999999998
cachoeiro de itapemirim,121,19171.42
rio grande,121,19068.89
novo hamburgo,120,20130.739999999998
barra mansa,119,21511.39
itajai,119,21456.930000000004
teresopolis,119,20266.36
santa barbara d'oeste,118,14980.130000000001
pocos de caldas,116,18309.37
resende,115,16300.279999999999
cabo frio,113,18812.18
passo fundo,112,18088.81
anapolis,111,20029.830000000005
gravatai,111,21131.640000000003
ferraz de vasconcelos,109,17385.65
franco da rocha,108,11830.23
porto velho,108,26028.600000000002
palmas,107,23705.75
ribeirao pires,106,11725.66
mage,106,16751.059999999998
aparecida de goiania,105,16558.56
belford roxo,104,14624.350000000002
nilopolis,103,15462.98
sao leopoldo,103,13185.7
chapeco,101,17500.079999999998
botucatu,100,18965.13
patos de minas,99,19266.79
ribeirao das neves,98,14772.339999999998
cajamar,97,11413.590000000002
balneario camboriu,97,18971.079999999998
itatiba,97,13634.010000000004
pindamonhangaba,97,14047.150000000001
caieiras,97,14186.28
guaratingueta,96,16593.199999999997
santa luzia,96,13931.569999999998
nova lima,96,23112.180000000004
francisco morato,94,9688.8
itapecerica da serra,93,9846.11
araras,93,15010.42
itajuba,92,15992.359999999999
criciuma,91,16054.82
vinhedo,90,10382.009999999998
palhoca,90,12938.05
olinda,89,15081.420000000002
mogi-guacu,89,13123.029999999999
vicosa,89,18388.28
salto,89,11601.1
vitoria da conquista,88,19252.209999999995
varginha,88,16008.4
jaragua do sul,88,15298.039999999997
foz do iguacu,86,13806.35
ananindeua,85,20777.66
poa,85,10803.800000000001
assis,84,13819.309999999998
lages,84,13694.32
jandira,84,9658.310000000001
votorantim,84,12085.64
angra dos reis,83,21421.329999999998
caraguatatuba,83,13412.43
lorena,82,9137.71
conselheiro lafaiete,81,10690.31
sao joao da boa vista,80,13428.770000000002
lavras,80,14744.86
cubatao,79,8171.42
barbacena,79,14209.710000000001
birigui,78,16626.83
itapetininga,77,14048.450000000003
itabira,77,12120.449999999997
ourinhos,77,14316.78
mesquita,76,11004.89
sao roque,75,10721.19
araxa,75,15041.84
mogi mirim,75,9974.890000000001
teofilo otoni,75,9586.630000000003
mairipora,75,10345.67
araruama,74,18836.769999999997
itanhaem,74,11370.649999999998
