customer_city,customer_state,geolocation_lat,geolocation_lng,total_orders,total_sales
abadia dos dourados,MG,-18.474476487136112,-47.4078365252738,3,358.9
abadiania,GO,-16.193742416316265,-48.70952130337259,1,949.99
abaete,MG,-19.158206495625077,-45.4463002987293,11,1597.81
abaetetuba,PA,-1.7230241817101852,-48.88106537387817,11,4028.57
abaiara,CE,-7.358247021378397,-39.04581684412134,2,262.9
abaira,BA,-13.25061237162442,-41.66388175580626,2,157.99
abare,BA,-8.695825761079504,-39.1555267107371,2,185.19
abatia,PR,-23.30452269862072,-50.31097243334825,3,167.89
abdon batista,SC,-27.608818306014133,-51.02488531826943,1,125.4
abelardo luz,SC,-26.565375356044346,-52.32532803924757,6,679.6999999999999
abrantes,BA,-12.829740573799095,-38.2649856931729,1,139.0
abre campo,MG,-20.294280906968602,-42.47372065361559,5,281.68
abreu e lima,PE,-7.919187333502259,-34.92652843928566,4,1320.78
abreu e lima,PE,-7.91351997669473,-34.908776878084545,2,256.3
abreu e lima,PE,-7.9125416086462375,-34.904796116400874,2,113.98
abreu e lima,PE,-7.910952122536735,-34.90352129078118,1,49.9
abreu e lima,PE,-7.904941278119591,-34.90652700088505,1,17.99
abreu e lima,PE,-7.8999538324933365,-34.89989093482549,1,618.0
acaiaca,MG,-20.36291378049634,-43.14402222191236,2,164.9
acailandia,MA,-4.945933764432744,-47.48449633404995,7,937.79
acajutiba,BA,-11.663495576693935,-38.023852706144226,1,28.89
acarau,CE,-2.8902381436643245,-40.110782071834926,8,1364.96
acari,RN,-6.436124915575116,-36.640335529330684,1,364.0
acegua,RS,-31.764360480159297,-54.148548714573295,2,209.9
acopiara,CE,-6.094117746073023,-39.44897848740864,7,647.67
acreuna,GO,-17.398332393161862,-50.373014769571675,7,1070.43
acu,RN,-5.578677546417205,-36.91480507328552,2,455.59000000000003
acucena,MG,-19.131911960585803,-42.61451567415954,1,38.0
adamantina,SP,-21.684238907966446,-51.07601533556035,35,5393.07
adhemar de barros,PR,-22.694008556222283,-52.7197073050395,1,139.0
adolfo,SP,-21.234456456293216,-49.64271564526813,5,373.8
adrianopolis,PR,-24.666145933248302,-48.97991927475517,1,73.9
adustina,BA,-10.536616901316743,-38.11492053385937,1,74.8
afogados da ingazeira,PE,-7.759829833939791,-37.560205074371495,8,1345.98
afonso claudio,ES,-20.076821553002276,-41.12371138232126,11,1568.77
afranio,PE,-8.527649408089497,-41.02060110035674,2,357.9
agisse,SP,-23.537328737497397,-48.54493393688767,1,43.0
agrestina,PE,-8.45504693653698,-35.94651434518298,1,1989.0
