customer_state,order_volume,total_sales
SP,40489,5767792.049999999
RJ,12351,2055589.5299999998
MG,11352,1818644.0499999998
RS,5342,860724.74
PR,4923,781708.8
SC,3547,595281.29
BA,3256,591137.81
DF,2080,346123.35
ES,1995,317657.93
GO,1957,334212.35
PE,1593,308972.05
CE,1278,266329.95999999996
PA,946,212023.57
MT,886,181224.41999999998
MA,716,147696.74
MS,701,134367.55
PB,517,137838.55
PI,476,105178.19
RN,474,100714.78
AL,397,94172.48999999999
SE,335,70289.13
TO,274,60007.369999999995
RO,243,56966.0
AM,145,27585.47
AC,80,19575.329999999998
AP,67,16141.809999999998
RR,41,9039.520000000002
